Temps [s],Tension [V]
58.84,-1.224198
58.93,0.607369
59.01,2.213962
59.09,2.868547
59.17,2.130073
59.25,0.538733
59.33,-1.160646
59.41,-2.506675
59.49,-3.156176
59.57,-2.839688
59.65,-1.844464
59.73,-0.310321
59.82,1.45261
59.9,2.604171
59.98,2.616881
60.06,1.493283
